#Constants		pitch_P		pitch_I		pitch_D
#PIDValues		1500		0		50
#Constants		roll_P		roll_I		roll_D
#PIDValues		0		0		0
&ms	m1/1300	m2/1300	m3/1300	m4/1300	degrees	degrees	degrees	degrees	dM/13	dM/13	dM/13	dM/13
107	910	910	910	910	-68.708	-6.59616	0	0	0	0	0	0
108	910	910	910	910	-68.7077	-6.59789	0	0	0	0	0	0
109	910	910	910	910	-68.7115	-6.57742	0	0	0	0	0	0
110	910	910	910	910	-68.7089	-6.58995	0	0	0	0	0	0
111	910	910	910	910	-68.7157	-6.56982	0	0	0	0	0	0
112	910	910	910	910	-68.7151	-6.56983	0	0	0	0	0	0
113	910	910	910	910	-68.7129	-6.58075	0	0	0	0	0	0
114	910	910	910	910	-68.7123	-6.58221	0	0	0	0	0	0
115	910	910	910	910	-68.7073	-6.58181	0	0	0	0	0	0
116	910	910	910	910	-68.7132	-6.59612	0	0	0	0	0	0
117	910	910	910	910	-68.7119	-6.57369	0	0	0	0	0	0
118	910	910	910	910	-68.7147	-6.57273	0	0	0	0	0	0
119	910	910	910	910	-68.7186	-6.57622	0	0	0	0	0	0
120	910	910	910	910	-68.7178	-6.58112	0	0	0	0	0	0
121	910	910	910	910	-68.7113	-6.58558	0	0	0	0	0	0
122	910	910	910	910	-68.7193	-6.5812	0	0	0	0	0	0
123	910	910	910	910	-68.7167	-6.5745	0	0	0	0	0	0
124	910	910	910	910	-68.7233	-6.56039	0	0	0	0	0	0
125	910	910	910	910	-68.724	-6.5707	0	0	0	0	0	0
126	910	910	910	910	-68.7149	-6.59831	0	0	0	0	0	0
127	910	910	910	910	-68.7146	-6.5989	0	0	0	0	0	0
128	910	910	910	910	-68.7165	-6.57087	0	0	0	0	0	0
129	910	910	910	910	-68.7148	-6.58663	0	0	0	0	0	0
130	910	910	910	910	-68.7112	-6.58548	0	0	0	0	0	0
131	910	910	910	910	-68.7171	-6.55508	0	0	0	0	0	0
132	910	910	910	910	-68.7132	-6.56367	0	0	0	0	0	0
133	910	910	910	910	-68.7098	-6.59346	0	0	0	0	0	0
134	910	910	910	910	-68.7122	-6.60002	0	0	0	0	0	0
135	910	910	910	910	-68.7094	-6.59222	0	0	0	0	0	0
136	910	910	910	910	-68.712	-6.59942	0	0	0	0	0	0
137	910	910	910	910	-68.7127	-6.57507	0	0	0	0	0	0
138	910	910	910	910	-68.7097	-6.59115	0	0	0	0	0	0
139	910	910	910	910	-68.7092	-6.58178	0	0	0	0	0	0
140	910	910	910	910	-68.7135	-6.57208	0	0	0	0	0	0
141	910	910	910	910	-68.7155	-6.56987	0	0	0	0	0	0
142	910	910	910	910	-68.7112	-6.58022	0	0	0	0	0	0
143	910	910	910	910	-68.7143	-6.56627	0	0	0	0	0	0
144	910	910	910	910	-68.715	-6.57458	0	0	0	0	0	0
145	910	910	910	910	-68.7104	-6.575	0	0	0	0	0	0
146	910	910	910	910	-68.717	-6.56333	0	0	0	0	0	0
147	910	910	910	910	-68.7175	-6.56683	0	0	0	0	0	0
148	910	910	910	910	-68.7128	-6.581	0	0	0	0	0	0
149	910	910	910	910	-68.7179	-6.56913	0	0	0	0	0	0
150	910	910	910	910	-68.7164	-6.59259	0	0	0	0	0	0
151	910	910	910	910	-68.7192	-6.56792	0	0	0	0	0	0
152	910	910	910	910	-68.7119	-6.5852	0	0	0	0	0	0
153	910	910	910	910	-68.7159	-6.55696	0	0	0	0	0	0
154	910	910	910	910	-68.7147	-6.56195	0	0	0	0	0	0
155	910	910	910	910	-68.7151	-6.5553	0	0	0	0	0	0
156	910	910	910	910	-68.7173	-6.57198	0	0	0	0	0	0
157	910	910	910	910	-68.721	-6.58276	0	0	0	0	0	0
158	910	910	910	910	-68.7115	-6.6074	0	0	0	0	0	0
159	910	910	910	910	-68.7069	-6.59888	0	0	0	0	0	0
160	910	910	910	910	-68.7106	-6.61112	0	0	0	0	0	0
161	910	910	910	910	-68.712	-6.57887	0	0	0	0	0	0
162	910	910	910	910	-68.7086	-6.56839	0	0	0	0	0	0
163	910	910	910	910	-68.7135	-6.57573	0	0	0	0	0	0
164	910	910	910	910	-68.7113	-6.5891	0	0	0	0	0	0
165	910	910	910	910	-68.7092	-6.5805	0	0	0	0	0	0
166	910	910	910	910	-68.7074	-6.59747	0	0	0	0	0	0
167	910	910	910	910	-68.7111	-6.56219	0	0	0	0	0	0
168	910	910	910	910	-68.7091	-6.60392	0	0	0	0	0	0
169	910	910	910	910	-68.7142	-6.56625	0	0	0	0	0	0
170	910	910	910	910	-68.7099	-6.56131	0	0	0	0	0	0
171	910	910	910	910	-68.7117	-6.60535	0	0	0	0	0	0
172	910	910	910	910	-68.711	-6.57228	0	0	0	0	0	0
173	910	910	910	910	-68.7113	-6.57045	0	0	0	0	0	0
174	910	910	910	910	-68.7117	-6.59982	0	0	0	0	0	0
175	910	910	910	910	-68.7088	-6.59403	0	0	0	0	0	0
176	910	910	910	910	-68.711	-6.5631	0	0	0	0	0	0
177	910	910	910	910	-68.7156	-6.56489	0	0	0	0	0	0
178	910	910	910	910	-68.7146	-6.56593	0	0	0	0	0	0
179	910	910	910	910	-68.7143	-6.58678	0	0	0	0	0	0
180	910	910	910	910	-68.719	-6.58645	0	0	0	0	0	0
181	910	910	910	910	-68.7189	-6.57364	0	0	0	0	0	0
182	910	910	910	910	-68.713	-6.58196	0	0	0	0	0	0
183	910	910	910	910	-68.7192	-6.59796	0	0	0	0	0	0
184	910	910	910	910	-68.7196	-6.5695	0	0	0	0	0	0
185	910	910	910	910	-68.7171	-6.58085	0	0	0	0	0	0
186	910	910	910	910	-68.7105	-6.58979	0	0	0	0	0	0
187	910	910	910	910	-68.7126	-6.59579	0	0	0	0	0	0
188	910	910	910	910	-68.7123	-6.59333	0	0	0	0	0	0
189	910	910	910	910	-68.713	-6.57582	0	0	0	0	0	0
190	910	910	910	910	-68.7137	-6.55652	0	0	0	0	0	0
191	910	910	910	910	-68.7082	-6.58461	0	0	0	0	0	0
192	910	910	910	910	-68.7133	-6.59833	0	0	0	0	0	0
193	910	910	910	910	-68.712	-6.59504	0	0	0	0	0	0
194	910	910	910	910	-68.7088	-6.57512	0	0	0	0	0	0
195	910	910	910	910	-68.7098	-6.57698	0	0	0	0	0	0
196	910	910	910	910	-68.7114	-6.58377	0	0	0	0	0	0
197	910	910	910	910	-68.7096	-6.57424	0	0	0	0	0	0
198	910	910	910	910	-68.7111	-6.60173	0	0	0	0	0	0
199	910	910	910	910	-68.7141	-6.58086	0	0	0	0	0	0
200	910	910	910	910	-68.7084	-6.60313	0	0	0	0	0	0
201	910	910	910	910	-68.7188	-6.57043	0	0	0	0	0	0
202	910	910	910	910	-68.7083	-6.614	0	0	0	0	0	0
203	910	910	910	910	-68.7181	-6.56947	0	0	0	0	0	0
204	910	910	910	910	-68.7082	-6.59613	0	0	0	0	0	0
205	910	910	910	910	-68.7108	-6.58247	0	0	0	0	0	0
206	910	910	910	910	-68.7151	-6.58836	0	0	0	0	0	0
207	910	910	910	910	-68.7166	-6.56497	0	0	0	0	0	0
208	910	910	910	910	-68.7152	-6.60558	0	0	0	0	0	0
209	910	910	910	910	-68.7125	-6.63414	0	0	0	0	0	0
210	910	910	910	910	-68.7154	-6.57143	0	0	0	0	0	0
211	910	910	910	910	-68.7172	-6.57319	0	0	0	0	0	0
212	910	910	910	910	-68.7181	-6.57976	0	0	0	0	0	0
213	910	910	910	910	-68.714	-6.57042	0	0	0	0	0	0
214	910	910	910	910	-68.7155	-6.57596	0	0	0	0	0	0
215	910	910	910	910	-68.7152	-6.58512	0	0	0	0	0	0
216	910	910	910	910	-68.7109	-6.59214	0	0	0	0	0	0
217	910	910	910	910	-68.7129	-6.57147	0	0	0	0	0	0
218	910	910	910	910	-68.7111	-6.58515	0	0	0	0	0	0
219	910	910	910	910	-68.7085	-6.59436	0	0	0	0	0	0
220	910	910	910	910	-68.7104	-6.56685	0	0	0	0	0	0
221	910	910	910	910	-68.7133	-6.58304	0	0	0	0	0	0
222	910	910	910	910	-68.7115	-6.57897	0	0	0	0	0	0
223	910	910	910	910	-68.7113	-6.56823	0	0	0	0	0	0
224	910	910	910	910	-68.707	-6.74196	0	0	0	0	0	0
225	910	910	910	910	-68.7085	-6.57655	0	0	0	0	0	0
226	910	910	910	910	-68.7107	-6.58387	0	0	0	0	0	0
227	910	910	910	910	-68.7122	-6.54067	0	0	0	0	0	0
228	910	910	910	910	-68.7126	-6.57526	0	0	0	0	0	0
229	910	910	910	910	-68.7134	-6.60692	0	0	0	0	0	0
230	910	910	910	910	-68.714	-6.60161	0	0	0	0	0	0
231	910	910	910	910	-68.7148	-6.57368	0	0	0	0	0	0
232	910	910	910	910	-68.7148	-6.57796	0	0	0	0	0	0
233	910	910	910	910	-68.7153	-6.55663	0	0	0	0	0	0
234	910	910	910	910	-68.7146	-6.57694	0	0	0	0	0	0
235	910	910	910	910	-68.715	-6.58062	0	0	0	0	0	0
236	910	910	910	910	-68.7172	-6.5615	0	0	0	0	0	0
237	910	910	910	910	-68.714	-6.60407	0	0	0	0	0	0
238	910	910	910	910	-68.7132	-6.58025	0	0	0	0	0	0
239	910	910	910	910	-68.7165	-6.5541	0	0	0	0	0	0
240	910	910	910	910	-68.7137	-6.58388	0	0	0	0	0	0
241	910	910	910	910	-68.7139	-6.58074	0	0	0	0	0	0
242	910	910	910	910	-68.7126	-6.58001	0	0	0	0	0	0
243	910	910	910	910	-68.71	-6.5943	0	0	0	0	0	0
244	910	910	910	910	-68.7126	-6.5834	0	0	0	0	0	0
245	910	910	910	910	-68.7129	-6.59747	0	0	0	0	0	0
246	910	910	910	910	-68.7127	-6.58487	0	0	0	0	0	0
247	910	910	910	910	-68.7175	-6.53995	0	0	0	0	0	0
248	910	910	910	910	-68.7039	-6.56545	0	0	0	0	0	0
249	910	910	910	910	-68.7101	-6.57265	0	0	0	0	0	0
250	910	910	910	910	-68.7137	-6.74384	0	0	0	0	0	0
251	910	910	910	910	-68.7094	-6.58815	0	0	0	0	0	0
252	910	910	910	910	-68.7083	-6.5677	0	0	0	0	0	0
253	910	910	910	910	-68.71	-6.58472	0	0	0	0	0	0
254	910	910	910	910	-68.7112	-6.57079	0	0	0	0	0	0
255	910	910	910	910	-68.7117	-6.58272	0	0	0	0	0	0
256	910	910	910	910	-68.7129	-6.57111	0	0	0	0	0	0
257	910	910	910	910	-68.7134	-6.57462	0	0	0	0	0	0
258	910	910	910	910	-68.7133	-6.57908	0	0	0	0	0	0
259	910	910	910	910	-68.716	-6.56779	0	0	0	0	0	0
260	910	910	910	910	-68.7183	-6.574	0	0	0	0	0	0
261	910	910	910	910	-68.7127	-6.57063	0	0	0	0	0	0
262	910	910	910	910	-68.7155	-6.57779	0	0	0	0	0	0
263	910	910	910	910	-68.7149	-6.59511	0	0	0	0	0	0
264	910	910	910	910	-68.717	-6.57029	0	0	0	0	0	0
265	910	910	910	910	-68.7152	-6.59376	0	0	0	0	0	0
266	910	910	910	910	-68.7172	-6.58449	0	0	0	0	0	0
267	910	910	910	910	-68.7178	-6.58352	0	0	0	0	0	0
268	910	910	910	910	-68.7139	-6.59444	0	0	0	0	0	0
269	910	910	910	910	-68.7176	-6.56169	0	0	0	0	0	0
270	910	910	910	910	-68.7101	-6.60567	0	0	0	0	0	0
271	910	910	910	910	-68.711	-6.60599	0	0	0	0	0	0
272	910	910	910	910	-68.714	-6.56079	0	0	0	0	0	0
273	910	910	910	910	-68.7103	-6.60096	0	0	0	0	0	0
274	910	910	910	910	-68.7158	-6.57	0	0	0	0	0	0
275	910	910	910	910	-68.7061	-6.59511	0	0	0	0	0	0
276	910	910	910	910	-68.712	-6.57439	0	0	0	0	0	0
277	910	910	910	910	-68.7122	-6.5709	0	0	0	0	0	0
278	910	910	910	910	-68.7075	-6.5614	0	0	0	0	0	0
279	910	910	910	910	-68.7085	-6.56329	0	0	0	0	0	0
280	910	910	910	910	-68.7073	-6.58707	0	0	0	0	0	0
281	910	910	910	910	-68.7121	-6.57283	0	0	0	0	0	0
282	910	910	910	910	-68.7126	-6.56793	0	0	0	0	0	0
283	910	910	910	910	-68.7097	-6.5885	0	0	0	0	0	0
284	910	910	910	910	-68.7115	-6.59382	0	0	0	0	0	0
285	910	910	910	910	-68.7153	-6.56475	0	0	0	0	0	0
286	910	910	910	910	-68.7174	-6.55654	0	0	0	0	0	0
287	910	910	910	910	-68.7204	-6.57285	0	0	0	0	0	0
288	910	910	910	910	-68.7202	-6.5576	0	0	0	0	0	0
289	910	910	910	910	-68.7128	-6.5795	0	0	0	0	0	0
290	910	910	910	910	-68.7203	-6.58742	0	0	0	0	0	0
291	910	910	910	910	-68.7175	-6.58273	0	0	0	0	0	0
292	910	910	910	910	-68.7191	-6.53584	0	0	0	0	0	0
293	910	910	910	910	-68.7177	-6.57937	0	0	0	0	0	0
294	910	910	910	910	-68.7197	-6.57484	0	0	0	0	0	0
295	910	910	910	910	-68.7175	-6.58781	0	0	0	0	0	0
296	910	910	910	910	-68.7134	-6.58103	0	0	0	0	0	0
297	910	910	910	910	-68.7165	-6.53469	0	0	0	0	0	0
298	910	910	910	910	-68.7129	-6.57844	0	0	0	0	0	0
299	910	910	910	910	-68.7092	-6.58754	0	0	0	0	0	0
300	910	910	910	910	-68.7128	-6.56722	0	0	0	0	0	0
301	910	910	910	910	-68.7064	-6.59059	0	0	0	0	0	0
302	910	910	910	910	-68.7091	-6.58058	0	0	0	0	0	0
303	910	910	910	910	-68.7131	-6.56119	0	0	0	0	0	0
304	910	910	910	910	-68.7193	-6.58125	0	0	0	0	0	0
305	910	910	910	910	-68.7132	-6.60038	0	0	0	0	0	0
306	910	910	910	910	-68.7082	-6.58938	0	0	0	0	0	0
307	910	910	910	910	-68.7065	-6.59282	0	0	0	0	0	0
308	910	910	910	910	-68.7102	-6.58595	0	0	0	0	0	0
309	910	910	910	910	-68.7167	-6.59042	0	0	0	0	0	0
310	910	910	910	910	-68.7138	-6.59493	0	0	0	0	0	0
311	910	910	910	910	-68.7124	-6.57531	0	0	0	0	0	0
312	910	910	910	910	-68.7095	-6.57089	0	0	0	0	0	0
313	910	910	910	910	-68.7132	-6.58505	0	0	0	0	0	0
314	910	910	910	910	-68.716	-6.59859	0	0	0	0	0	0
315	910	910	910	910	-68.7169	-6.58382	0	0	0	0	0	0
316	910	910	910	910	-68.7082	-6.58674	0	0	0	0	0	0
317	910	910	910	910	-68.7113	-6.56857	0	0	0	0	0	0
318	910	910	910	910	-68.7131	-6.5782	0	0	0	0	0	0
319	910	910	910	910	-68.7192	-6.56291	0	0	0	0	0	0
320	910	910	910	910	-68.7177	-6.58191	0	0	0	0	0	0
321	910	910	910	910	-68.7108	-6.57296	0	0	0	0	0	0
322	910	910	910	910	-68.7095	-6.74273	0	0	0	0	0	0
323	910	910	910	910	-68.7139	-6.55733	0	0	0	0	0	0
324	910	910	910	910	-68.7208	-6.57467	0	0	0	0	0	0
325	910	910	910	910	-68.7165	-6.57736	0	0	0	0	0	0
326	910	910	910	910	-68.7126	-6.57218	0	0	0	0	0	0
327	910	910	910	910	-68.7142	-6.57118	0	0	0	0	0	0
328	910	910	910	910	-68.7156	-6.57661	0	0	0	0	0	0
329	910	910	910	910	-68.7162	-6.58396	0	0	0	0	0	0
330	910	910	910	910	-68.7144	-6.56982	0	0	0	0	0	0
331	910	910	910	910	-68.7109	-6.5795	0	0	0	0	0	0
332	910	910	910	910	-68.7081	-6.58963	0	0	0	0	0	0
333	910	910	910	910	-68.7183	-6.59294	0	0	0	0	0	0
334	910	910	910	910	-68.7153	-6.59215	0	0	0	0	0	0
335	910	910	910	910	-68.7103	-6.58821	0	0	0	0	0	0
336	910	910	910	910	-68.7117	-6.58884	0	0	0	0	0	0
337	910	910	910	910	-68.7177	-6.55721	0	0	0	0	0	0
338	910	910	910	910	-68.7191	-6.60134	0	0	0	0	0	0
339	910	910	910	910	-68.7086	-6.59667	0	0	0	0	0	0
340	910	910	910	910	-68.7113	-6.57529	0	0	0	0	0	0
341	910	910	910	910	-68.7098	-6.6048	0	0	0	0	0	0
342	910	910	910	910	-68.7207	-6.56936	0	0	0	0	0	0
343	910	910	910	910	-68.7097	-6.60145	0	0	0	0	0	0
344	910	910	910	910	-68.7134	-6.58043	0	0	0	0	0	0
345	910	910	910	910	-68.713	-6.57005	0	0	0	0	0	0
346	910	910	910	910	-68.715	-6.58217	0	0	0	0	0	0
347	910	910	910	910	-68.7077	-6.59054	0	0	0	0	0	0
348	910	910	910	910	-68.7071	-6.58033	0	0	0	0	0	0
349	910	910	910	910	-68.7196	-6.58453	0	0	0	0	0	0
350	910	910	910	910	-68.7158	-6.6013	0	0	0	0	0	0
351	910	910	910	910	-68.708	-6.59316	0	0	0	0	0	0
352	910	910	910	910	-68.7129	-6.59982	0	0	0	0	0	0
353	910	910	910	910	-68.7177	-6.58604	0	0	0	0	0	0
354	910	910	910	910	-68.7139	-6.5663	0	0	0	0	0	0
355	910	910	910	910	-68.7141	-6.5817	0	0	0	0	0	0
356	910	910	910	910	-68.7171	-6.5664	0	0	0	0	0	0
357	910	910	910	910	-68.7178	-6.56956	0	0	0	0	0	0
358	910	910	910	910	-68.7065	-6.59572	0	0	0	0	0	0
359	910	910	910	910	-68.7113	-6.59773	0	0	0	0	0	0
360	910	910	910	910	-68.7151	-6.58637	0	0	0	0	0	0
361	910	910	910	910	-68.7141	-6.57482	0	0	0	0	0	0
362	910	910	910	910	-68.7122	-6.59089	0	0	0	0	0	0
363	910	910	910	910	-68.7106	-6.60363	0	0	0	0	0	0
364	910	910	910	910	-68.7135	-6.58199	0	0	0	0	0	0
365	910	910	910	910	-68.7082	-6.58326	0	0	0	0	0	0
366	910	910	910	910	-68.7134	-6.58623	0	0	0	0	0	0
367	910	910	910	910	-68.7108	-6.58438	0	0	0	0	0	0
368	910	910	910	910	-68.7136	-6.5745	0	0	0	0	0	0
369	910	910	910	910	-68.7107	-6.60957	0	0	0	0	0	0
370	910	910	910	910	-68.7131	-6.57828	0	0	0	0	0	0
371	910	910	910	910	-68.71	-6.60118	0	0	0	0	0	0
372	910	910	910	910	-68.7149	-6.56709	0	0	0	0	0	0
373	910	910	910	910	-68.7123	-6.58165	0	0	0	0	0	0
374	910	910	910	910	-68.7119	-6.57835	0	0	0	0	0	0
375	910	910	910	910	-68.7125	-6.59325	0	0	0	0	0	0
376	910	910	910	910	-68.7172	-6.57893	0	0	0	0	0	0
377	910	910	910	910	-68.7124	-6.59335	0	0	0	0	0	0
378	910	910	910	910	-68.7118	-6.57741	0	0	0	0	0	0
379	910	910	910	910	-68.7126	-6.60212	0	0	0	0	0	0
380	910	910	910	910	-68.7155	-6.59585	0	0	0	0	0	0
381	910	910	910	910	-68.7097	-6.59273	0	0	0	0	0	0
382	910	910	910	910	-68.7155	-6.60126	0	0	0	0	0	0
383	910	910	910	910	-68.7178	-6.56617	0	0	0	0	0	0
384	910	910	910	910	-68.706	-6.58213	0	0	0	0	0	0
385	910	910	910	910	-68.7115	-6.57724	0	0	0	0	0	0
386	910	910	910	910	-68.7161	-6.53927	0	0	0	0	0	0
387	910	910	910	910	-68.7099	-6.58762	0	0	0	0	0	0
388	910	910	910	910	-68.7128	-6.5631	0	0	0	0	0	0
389	910	910	910	910	-68.7214	-6.52838	0	0	0	0	0	0
390	910	910	910	910	-68.7109	-6.58434	0	0	0	0	0	0
391	910	910	910	910	-68.7124	-6.5911	0	0	0	0	0	0
392	910	910	910	910	-68.7212	-6.59077	0	0	0	0	0	0
393	910	910	910	910	-68.7155	-6.61371	0	0	0	0	0	0
394	910	910	910	910	-68.7112	-6.60503	0	0	0	0	0	0
395	910	910	910	910	-68.7166	-6.56987	0	0	0	0	0	0
396	910	910	910	910	-68.7115	-6.58128	0	0	0	0	0	0
397	910	910	910	910	-68.7051	-6.61677	0	0	0	0	0	0
398	910	910	910	910	-68.7185	-6.57157	0	0	0	0	0	0
399	910	910	910	910	-68.7156	-6.58369	0	0	0	0	0	0
400	910	910	910	910	-68.712	-6.5853	0	0	0	0	0	0
401	910	910	910	910	-68.7188	-6.5853	0	0	0	0	0	0
402	910	910	910	910	-68.7128	-6.56785	0	0	0	0	0	0
403	910	910	910	910	-68.713	-6.58656	0	0	0	0	0	0
